forecast_date,city_id,temp,humidity,wind_speed,rain_prob,description,date_extraction
2020-09-23,2,19.6,73.6,24.7,100.0,Clearing in the afternoon with rain clearing later.,2020-09-22
2020-09-24,2,19.0,75.3,24.6,100.0,Cloudy skies throughout the day with rain.,2020-09-23
2020-09-25,2,12.9,68.8,24.9,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-09-24
2020-09-26,2,9.6,76.0,26.4,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-09-25
2020-09-27,2,8.3,87.8,17.7,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-09-26
2020-09-28,2,10.5,91.8,15.8,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-09-27
2020-09-29,2,13.5,79.5,14.0,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-09-28
2020-09-30,2,13.8,79.6,8.6,100.0,Clearing in the afternoon with afternoon rain.,2020-09-29
2020-10-01,2,13.7,83.3,14.2,100.0,Partly cloudy throughout the day with afternoon rain.,2020-09-30
2020-10-02,2,13.1,87.4,28.0,100.0,Cloudy skies throughout the day with rain.,2020-10-01
2020-10-03,2,11.6,77.5,51.5,100.0,Cloudy skies throughout the day with rain.,2020-10-02
2020-10-04,2,12.7,70.8,37.1,100.0,Partly cloudy throughout the day with rain.,2020-10-03
2020-10-05,2,12.2,73.4,21.9,100.0,Partly cloudy throughout the day with rain.,2020-10-04
2020-10-06,2,13.6,77.2,34.4,100.0,Cloudy skies throughout the day with rain.,2020-10-05
2020-10-07,2,14.4,63.8,19.3,100.0,Cloudy skies throughout the day with morning rain.,2020-10-06
